StockCode,InvoiceYearMonth,Country,total_quantity,avg_price_monthly
10002,2010-12,EIRE,12,0.85
10002,2010-12,France,96,0.85
10002,2011-01,France,156,0.85
10002,2011-04,France,120,0.85
10002,2011-01,Germany,1,0.85
10002,2011-02,Japan,1,0.85
10002,2011-01,Spain,24,0.85
10002,2011-01,Switzerland,12,0.85
10002,2010-12,United Kingdom,143,0.9972727272727272
10002,2011-01,United Kingdom,147,0.8661224489795918
10002,2011-02,United Kingdom,51,0.8805882352941176
10002,2011-03,United Kingdom,28,0.9892857142857142
10002,2011-04,United Kingdom,69,0.85
10080,2011-02,United Kingdom,2,0.85
10080,2011-06,United Kingdom,60,0.38999999999999996
10080,2011-07,United Kingdom,24,0.38999999999999996
10080,2011-08,United Kingdom,60,0.38999999999999996
10080,2011-09,United Kingdom,60,0.38999999999999996
10080,2011-10,United Kingdom,6,0.38999999999999996
10080,2011-11,United Kingdom,91,0.38999999999999996
10120,2011-11,France,10,0.21000000000000002
10120,2010-12,United Kingdom,16,0.21
10120,2011-02,United Kingdom,30,0.21
10120,2011-03,United Kingdom,29,0.21
10120,2011-05,United Kingdom,3,0.21
10120,2011-07,United Kingdom,5,0.21000000000000002
10120,2011-08,United Kingdom,35,0.21
10120,2011-09,United Kingdom,10,0.21000000000000002
10120,2011-10,United Kingdom,10,0.21000000000000002
10120,2011-11,United Kingdom,39,0.21
10120,2011-12,United Kingdom,6,0.21
10123C,2010-12,United Kingdom,1,0.65
10123C,2011-03,United Kingdom,4,0.65
10124A,2010-12,United Kingdom,4,0.42
10124A,2011-02,United Kingdom,3,0.42
10124A,2011-03,United Kingdom,5,0.42000000000000004
10124A,2011-11,United Kingdom,4,0.42
10124G,2010-12,United Kingdom,5,0.42000000000000004
10124G,2011-03,United Kingdom,4,0.42
10124G,2011-09,United Kingdom,4,0.42
10124G,2011-11,United Kingdom,4,0.42
10125,2011-01,France,20,0.42000000000000004
10125,2011-03,France,40,0.85
10125,2011-05,France,100,0.85
10125,2011-07,France,100,0.85
10125,2011-09,France,150,0.85
10125,2011-11,France,60,0.85
10125,2011-01,Germany,40,0.42000000000000004
10125,2011-04,Germany,20,0.85
10125,2011-08,Germany,20,0.85
10125,2011-10,Germany,20,0.85
10125,2011-12,Germany,20,0.85
10125,2011-09,Switzerland,20,0.85
10125,2010-12,United Kingdom,154,0.59
10125,2011-01,United Kingdom,153,0.5519607843137255
10125,2011-03,United Kingdom,74,0.871081081081081
10125,2011-04,United Kingdom,62,0.8500000000000001
10125,2011-05,United Kingdom,7,0.85
10125,2011-06,United Kingdom,15,0.954
10125,2011-07,United Kingdom,77,0.8601298701298702
10125,2011-08,United Kingdom,65,0.85
10125,2011-09,United Kingdom,40,0.85
10125,2011-10,United Kingdom,31,0.8751612903225806
10125,2011-11,United Kingdom,2,0.85
10125,2011-12,United Kingdom,6,0.85
10133,2011-06,Canada,20,0.85
10133,2011-07,Canada,20,0.42000000000000004
10133,2011-07,EIRE,20,0.42000000000000004
10133,2011-08,EIRE,20,0.42000000000000004
10133,2011-08,Israel,20,0.42000000000000004
10133,2010-12,Portugal,20,0.42000000000000004
10133,2011-02,Switzerland,10,0.85
10133,2010-12,United Kingdom,110,0.6988181818181819
10133,2011-01,United Kingdom,180,0.6324444444444445
10133,2011-02,United Kingdom,29,0.9037931034482759
10133,2011-03,United Kingdom,83,0.85
10133,2011-04,United Kingdom,76,0.8602631578947367
10133,2011-05,United Kingdom,33,0.85
10133,2011-06,United Kingdom,506,0.4932806324110672
10133,2011-07,United Kingdom,790,0.5061518987341772
10133,2011-08,United Kingdom,723,0.4897510373443984
10133,2011-09,United Kingdom,207,0.4457487922705314
10135,2011-06,Canada,20,1.25
10135,2011-03,EIRE,60,0.42
10135,2011-11,France,10,1.25
10135,2011-02,Germany,200,1.06
10135,2011-07,Norway,10,1.25
10135,2010-12,United Kingdom,411,0.6788807785888077
10135,2011-01,United Kingdom,613,0.7950734094616639
10135,2011-02,United Kingdom,72,1.1706944444444445
10135,2011-03,United Kingdom,58,1.2708620689655172
10135,2011-04,United Kingdom,30,1.25
10135,2011-05,United Kingdom,13,1.7153846153846155
10135,2011-06,United Kingdom,35,1.25
10135,2011-07,United Kingdom,167,1.25
10135,2011-08,United Kingdom,152,1.125
10135,2011-09,United Kingdom,70,1.4228571428571428
10135,2011-10,United Kingdom,70,1.4747142857142859
10135,2011-11,United Kingdom,171,1.2428070175438595
10135,2011-12,United Kingdom,69,1.4078260869565218
11001,2010-12,EIRE,16,1.69
11001,2011-06,EIRE,16,1.69
11001,2011-07,EIRE,16,1.69
11001,2011-09,France,16,1.69
11001,2011-07,Germany,16,1.69
11001,2011-10,Germany,16,1.69
11001,2011-11,Norway,16,1.69
11001,2011-01,Portugal,16,1.69
11001,2011-08,Spain,16,1.69
11001,2010-12,United Kingdom,58,1.9203448275862067
11001,2011-01,United Kingdom,17,1.788235294117647
11001,2011-02,United Kingdom,26,2.3053846153846154
11001,2011-03,United Kingdom,52,1.7823076923076924
11001,2011-04,United Kingdom,36,1.6900000000000002
11001,2011-05,United Kingdom,96,1.6900000000000002
11001,2011-06,United Kingdom,185,1.2158378378378378
11001,2011-07,United Kingdom,204,0.935392156862745
11001,2011-08,United Kingdom,483,1.2898343685300206
